연월,지역,사업유형,주소,주택명,세대수
2026-09,강원,분양,강원특별자치도 강릉시 견소동  219-0,강릉 모아미래도 오션리버,561
2026-08,강원,분양,강원특별자치도 강릉시 견소동  244-2,강릉 오션시티 아이파크,794
2025-08,강원,분양조합,강원특별자치도 강릉시 교동  61-2,경남아너스빌 더센트로,456
2025-06,강원,분양,강원특별자치도 강릉시 교동  637-1,금호어울림 올림픽파크,346
2026-11,강원,분양,강원특별자치도 강릉시 송정동  산 77-3,강릉자이르네 디오션,228
2026-12,강원,분양,강원특별자치도 강릉시 주문진읍 주문리 762-5,강릉시 주문진 라일플로리스 벨벳 도시형생활주택,299
2025-10,강원,분양,강원특별자치도 강릉시 포남동  852-0,강릉KTX역 경남아너스빌,167
2026-01,강원,분양,강원특별자치도 고성군 토성면 아야진리 산 21-0,아야진 라메르 데시앙,811
2026-05,강원,분양,강원특별자치도 속초시 금호동  622-40,힐스테이트 속초,925
2025-02,강원,임대,강원특별자치도 양구군 양구읍 상리 124-1,강원양구 임대주택(국민.영구),100
2026-01,강원,분양,강원특별자치도 양양군 양양읍 구교리 57-0,양양 금호어울림 더퍼스트,279
2025-08,강원,임대,강원특별자치도 영월군 영월읍 덕포리 815번지,덕포행복주택,102
2025-10,강원,분양,강원특별자치도 원주시 관설동  1298-0,원주 동문 디 이스트,873
2025-02,강원,분양,강원특별자치도 원주시 관설동  1361-8,힐스테이트 원주 레스티지,975
2026-06,강원,분양,강원특별자치도 원주시 단구동  0-0,원주자이 센트로,970
2025-05,강원,분양,강원특별자치도 원주시 무실동  산 23-0,제일풍경채 원주 무실,997
2025-12,강원,분양,강원특별자치도 원주시 반곡동  1507-1,원주 롯데캐슬 시그니처,922
2025-10,강원,분양,강원특별자치도 원주시 반곡동  1833-0,유승한내들 더스카이,386
2026-03,강원,분양조합,강원특별자치도 원주시 원동  129-1,두산위브더제니스 센트럴 원주,1167
2025-02,강원,임대,강원특별자치도 원주시 태장동 577-3,원주동광뷰웰레이크포레(민간임대),604
2025-11,강원,분양,강원특별자치도 원주시 판부면 서곡리 산 48-0,e편한세상 원주 프리모원(1회차),350
2025-11,강원,분양,강원특별자치도 원주시 판부면 서곡리 산 48-0,e편한세상 원주 프리모원(2회차),222
2025-03,강원,임대,강원특별자치도 정선군 정선읍 봉양리 65-0,강원정선 국민임대 & 행복주택,100
2025-07,강원,임대,강원특별자치도 춘천시 근화동 751번지,춘천 시온숲속의아침뷰,318
2025-10,강원,임대,강원특별자치도 춘천시 동내면 학곡리 858,춘천학곡지구중해마루힐(민간임대),1114
2026-09,강원,분양,강원특별자치도 춘천시 동면 만천리 785-0,춘천 금호어울림 더 퍼스트,543
2026-08,강원,분양,강원특별자치도 춘천시 삼천동  22-2,춘천 레이크시티 아이파크,874
2025-10,강원,분양조합,강원특별자치도 춘천시 소양로2가  7-2,더샵 소양스타리버,1039
2026-10,강원,분양,강원특별자치도 홍천군 홍천읍 갈마곡리 23-26,대상 웰라움 홍천,200
2026-12,강원,분양,강원특별자치도 홍천군 홍천읍 갈마곡리 436-1,홍천 에듀포레 휴티스,239
2026-10,강원,분양,강원특별자치도 홍천군 홍천읍 희망리 396-9,스위트클래스 더 스카이 45,264
2025-07,경기,분양조합,경기도 가평군 설악면 신천리 산 45-27,디엘본 가평설악지역주택조합 아파트,420
2025-12,경기,분양,경기도 고양시 덕양구 신원동  591-0,"힐스테이트 삼송더카운티(고양삼송지구 블록형 단독주택용지 14-1,14-2,15블록)",107
2025-07,경기,임대,경기도 고양시 일산동구 장항동  0-0,고양장항 A-1블록(행복주택),1242
2026-04,경기,임대,경기도 고양시 일산동구 장항동  0-0,신혼희망타운(행복주택),279
2026-12,경기,분양,경기도 고양시 일산동구 장항동  658-65,고양장항 제일풍경채,1184
2026-04,경기,분양,경기도 고양시 장항동 663-106,고양장항A2(신혼희망타운),371
2025-07,경기,분양,경기도 고양시 풍동 1183번지,일산데이엔뷰(3단지)4BL,487
2025-08,경기,분양,경기도 고양시 풍동 767,일산데이엔뷰(2단지)2BL,737
2025-08,경기,분양,경기도 고양시 풍동 767,일산데이엔뷰(1단지)1BL,866
2026-06,경기,임대,경기도 과천시 갈현동  0-0,과천지식정보타운 S-11BL 행복주택(리츠),846
2025-11,경기,분양임대조합,경기도 광명시 광명동  88-14,광명 센트럴 아이파크,1957
2026-01,경기,분양임대조합,경기도 광명시 광명동  9-8,광명자이더샵포레나,3585
2026-01,경기,분양조합,경기도 광명시 소하동  883-18,광명 소하 신원아침도시2,203
2026-02,경기,분양조합,경기도 광명시 소하동  893-3,광명 소하 신원아침도시1*,144
2026-03,경기,임대,경기도 광명시 소하동 1342-5,더플러스 광명,152
2026-01,경기,분양조합,경기도 광명시 철산동  105-0,철산자이 브리에르,1490
2025-05,경기,분양임대조합,경기도 광명시 철산동  235-0,철산자이 더 헤리티지,3804
2026-06,경기,분양,경기도 광주시 송정동  산 28-4,광주 송정 중흥S-클래스 파크뷰,840
2026-10,경기,임대,경기도 광주시 역동 417-2,광주역세권청년혁신타운,316
2026-03,경기,분양임대조합,경기도 구리시 인창동  280-3,구리역 롯데캐슬 시그니처,1180
2025-05,경기,분양,경기도 군포시 금정동  77-4,금정역 개성로니엘,80
2025-02,경기,분양조합,경기도 남양주시 금곡동  404-20,금곡역 한신더휴,406
2026-00,경기,임대,경기도 남양주시 다산동 6111,다산지금A3(공공임대),518
2025-05,경기,분양임대조합,경기도 남양주시 와부읍 덕소리 511-6,덕소 강변 신일해피트리,212
2025-07,경기,분양임대조합,경기도 남양주시 와부읍 도곡리 931-5,도심역 한양수자인 리버파인,908
2026-01,경기,분양,경기도 남양주시 화도읍 마석우리 251-0,마석역 극동스타클래스 더 퍼스트,138
2025-10,경기,분양,경기도 남양주시 화도읍 마석우리 295-32,빌리브센트하이,250
2025-03,경기,임대,경기도 동두천시 송내동 264-3,동두천중흥S클래스헤라시티(민간임대),466
2026-02,경기,분양조합,경기도 부천시 소사구 괴안동  91-2,역곡역 아테움 스위첸,189
2025-06,경기,분양,경기도 부천시 소사구 소사본동  65-2,힐스테이트 소사역,629
2026-10,경기,분양조합,경기도 부천시 소사구 송내동  338-0,송내역 푸르지오 센트비엔,1045
2026-00,경기,분양조합,경기도 부천시 오정구 고강동 293-2번지 외 7필지,미정(사업명 : 삼하동호진주 가로주택정비사업),90
2026-00,경기,분양조합,경기도 부천시 오정구 고강동 307번지,미정(사업명 : 건우아파트 가로주택정비사업),237
2026-00,경기,분양조합,경기도 부천시 오정구 고강동 310-9번지 외 6필지,미정(사업명 : 삼우아파트성원주택수정빌라 가로주택정비사업),108
2026-00,경기,분양조합,경기도 부천시 오정구 고강동 334-7번지 외 10필지,미정(사업명 : 로얄빌라외 가로주택정비사업),77
2026-00,경기,분양조합,경기도 부천시 오정구 고강동 338-4번지 외 14필지,미정(사업명 : 고강동 현대주택외 가로주택정비사업),99
2026-00,경기,분양조합,경기도 부천시 오정구 여월동 8-6번지 외 4필지,미정(사업명 : 여월동 광남복지 가로주택정비사업),102
2026-00,경기,분양조합,경기도 부천시 오정구 오정동 140-5번지 외 19필지,미정(사업명 : 부촌3차아파트외 가로주택정비사업),231
2025-12,경기,분양,경기도 부천시 오정구 원종동  0-0,부천원종 B2BL 신혼희망타운(공공분양),394
2026-02,경기,임대,경기도 부천시 오정구 원종동  0-0,부천원종 A-1블록 행복주택,422
2025-12,경기,임대,경기도 부천시 오정구 원종동  0-0,부천원종 B-2블록 신혼희망타운(행복주택),197
2025-00,경기,분양조합,경기도 부천시 오정구 원종동 131번지 외 6필지,미정(사업명 : 광성보원 가로주택정비사업),168
2026-00,경기,분양조합,경기도 부천시 오정구 원종동 136-4번지 외 11필지,미정(사업명 : 은성빌라 가로주택정비사업),82
2026-00,경기,분양조합,경기도 부천시 오정구 원종동 288번지 외 21필지,미정(사업명 : 영동주택 가로주택정비사업),164
2026-00,경기,분양조합,경기도 부천시 오정구 원종동 335번지 외 8필지,미정(사업명 : 대성연립 가로주택정비사업),72
2026-05,경기,임대,경기도 부천시 오정구 원종동 일원,부천원종 A2,472
2026-03,경기,임대,경기도 부천시 오정구 원종동 일원,부천원종 C1,323
2025-03,경기,분양조합,경기도 부천시 원미구 심곡동 95-3,심곡 중앙하이츠(102동),84
2025-11,경기,분양,경기도 성남시 분당구 대장동  0-0,"판교TH212(판교대장지구 B2,B3BL)",212
2025-07,경기,분양,경기도 성남시 분당구 야탑동  134-1,분당 아테라,242
2025-12,경기,분양,경기도 성남시 수정구 복정동  0-0,성남복정1 A1BL 공공분양,615
2025-12,경기,분양,경기도 성남시 수정구 복정동  0-0,성남복정1 A2BL 신혼희망타운(공공분양),258
2025-12,경기,분양,경기도 성남시 수정구 복정동  0-0,성남복정1 A3BL 신혼희망타운(공공분양),210
2025-12,경기,임대,경기도 성남시 수정구 복정동  0-0,성남복정1 A3BL 신혼희망타운(행복주택),105
2025-12,경기,임대,경기도 성남시 수정구 복정동  0-0,성남복정1 A2BL 신혼희망타운(행복주택),129
2026-05,경기,분양,경기도 성남시 수정구 신촌동  0-0,엘리프 성남신촌,320
2026-12,경기,임대,경기도 성남시 수정구 신촌동 일원,성남신촌 A1,227
2026-12,경기,분양,경기도 성남시 수정구 창곡동  0-0,위례지구 A2-7블록 신혼희망타운,440
2026-12,경기,임대,경기도 성남시 수정구 창곡동  0-0,위례 A2-7블록 신혼희망타운 행복주택,219
2025-04,경기,분양,경기도 성남시 중원구 둔촌대로217번길 11,삼남아파트,117
2025-04,경기,조합,경기도 성남시 중원구 하대원동 120-1,엘리프성남더에듀,145
2026-08,경기,분양임대조합,경기도 수원시 권선구 세류동  817-72,매교역 팰루시드,2178
2026-02,경기,분양,경기도 수원시 권선구 오목천동  319-1,오목천역 더리브,201
2025-03,경기,분양,경기도 수원시 영통구 망포동  0-0,영통 푸르지오 파인베르(A2BL),770
2025-03,경기,분양,경기도 수원시 영통구 망포동  0-0,영통 푸르지오 트레센츠(A1BL),796
2025-05,경기,분양,경기도 수원시 우만동 58-12,남광교퍼스트루브루,91
2025-08,경기,임대,경기도 수원시 팔달구 매산로2가  40-30,수원매산 A1블록 행복주택,58
2026-02,경기,분양임대조합,경기도 수원시 팔달구 지동  349-1,수원성 중흥S-클래스,1154
2026-06,경기,분양조합,경기도 시흥시 대야동  284,대야3(시흥영남2차아파트) ,1026
2025-09,경기,분양,경기도 시흥시 신천동  83-6,신천역 한라비발디,1297
2026-10,경기,분양조합,경기도 시흥시 은행동 289-31,신극동아파트 가로주택,218
2026-03,경기,임대,경기도 시흥시 정왕동  1799-2,시흥정왕 1블록 행복주택,470
2026-05,경기,분양,경기도 시흥시 정왕동  2715-0,시화MTV 푸르지오 디오션,400
2026-09,경기,분양조합,경기도 안산시 단원구 고잔동  648-0,한화포레나 안산고잔2차 ,472
2025-03,경기,분양조합,경기도 안산시 상록구 건건동  894-10,반월역 두산위브 더 센트럴,725
2025-06,경기,분양,경기도 안성시 공도읍 만정리 358-23,안성 라포르테 공도,986
2025-01,경기,분양,경기도 안성시 공도읍 양기리 302-2,안성 우방아이유쉘 에스티지,948
2026-03,경기,분양,경기도 안성시 공도읍 진사리 29-13,해링턴 플레이스 진사(1BL),355
2026-03,경기,분양,경기도 안성시 공도읍 진사리 33-0,해링턴 플레이스 진사(2BL),637
2025-04,경기,임대,경기도 안성시 당왕동 455,안성청사복합 주택(통합공공임대주택),320
2026-10,경기,임대,경기도 안성시 신소현동 86-1,안성영무예다음(민간임대)2BL,997
2025-11,경기,분양,경기도 안성시 죽산면 죽산리 790-0,안성 하우스토리 퍼스트시티,474
2026-10,경기,분양,경기도 안양시 동안구 호계동  533-3,e편한세상 평촌 어반밸리,458
2025-06,경기,분양임대조합,경기도 안양시 동안구 호계동  651-1,평촌 두산위브 더 프라임,456
2025-03,경기,분양임대조합,경기도 안양시 동안구 호계동  915-0,아크로 베스티뉴,1011
2026-05,경기,분양임대조합,경기도 안양시 만안구 석수동  348-1,안양자이 더 포레스트,483
2025-01,경기,분양임대조합,경기도 안양시 만안구 안양동  618-0,안양 어반포레 자연앤 e편한세상,2329
2025-08,경기,분양,경기도 양주시 덕정동 84,덕정역서희스타힐스에듀포레3단지,931
2025-03,경기,임대,경기도 양주시 옥정동 1022,엘리프옥정시그너처(민간임대)A5,921
2025-03,경기,분양,경기도 양주시 장흥면 일영리 143-4,경남아너스빌 북한산뷰 B-1(5)블럭(2단지),283
2025-03,경기,분양,경기도 양주시 장흥면 일영리 85-2,경남아너스빌 북한산뷰 B-1(4)블럭(1단지) ,458
2025-12,경기,분양,경기도 양주시 회정동  194-1,양주 덕정역 에피트,427
2026-11,경기,분양,경기도 양주시 회정동  회천지구 A11BL,회천중앙역 대광로제비앙 4차,642
2026-09,경기,분양,경기도 양주시 회정동  회천지구 A12BL,회천중앙역 대광로제비앙 3차,621
2026-09,경기,임대,경기도 양주시 회정동 일원,양주회천 A25,1474
2025-02,경기,분양,경기도 양평군 양평읍 공흥리 418-0,양평공흥3 휴먼빌 아틀리에,406
2025-07,경기,임대,경기도 양평군 양평읍 창대리 701,양평남한강 경기행복주택,49
2025-08,경기,임대,경기도 연천군 연천읍 통현리 1073,연천BIX 경기행복주택,100
2025-01,경기,분양,경기도 오산시 가수동  442,오산 SK VIEW 2차,380
2026-10,경기,분양,경기도 오산시 가수동  449,오산역 금강펜테리움 센트럴파크,730
2025-08,경기,분양,경기도 오산시 궐동  684-2,오산세교 하우스토리 더센트럴,192
2025-02,경기,분양,경기도 오산시 궐동 772,오산세교2지구 A-21블록 모아미래도,414
2026-11,경기,임대,경기도 오산시 궐동 822,오산 우미린,1050
2026-04,경기,분양,경기도 오산시 궐동432-4,오산세교파라곤(A3),1068
2025-03,경기,분양,경기도 오산시 누읍동 424-5,칸타빌 더퍼스트(오산 세교2지구 A10BL),514
2026-06,경기,분양,경기도 오산시 벌음동  262,오산호반써밋라프리미어,1030
2025-03,경기,분양,경기도 오산시 탑동  110-1,오산세교2 한신더휴(A16블록),844
2025-11,경기,분양,경기도 오산시 탑동  154-2,오산세교 우미 린 센트럴시티(A-14),1532
2025-08,경기,분양,경기도 용인시 기흥구 공세동  산 42-4,라피아노 용인공세,94
2025-11,경기,분양조합,경기도 용인시 기흥구 동백동  478-10,동백호수공원 두산위브더제니스,378
2026-12,경기,분양,경기도 용인시 기흥구 서천동  335-2,영통역자이 프라시엘,472
2025-06,경기,임대,경기도 용인시 보정동 266-4,롯데캐슬하이브엘(민간임대),715
2025-04,경기,분양,경기도 용인시 수지구 동천동  181-1,동천역자이르네 공동주택(소형주택),112
2025-01,경기,분양,경기도 용인시 처인구 모현읍 왕산리 0-0,힐스테이트 몬테로이,1318
2025-00,경기,분양,경기도 용인시 처인구 양지면 남곡리 147-15,용인 경남 아너스빌 디센트 2단지,450
2025-00,경기,분양,경기도 용인시 처인구 양지면 남곡리 147-19,용인 경남 아너스빌 디센트 1단지,326
2025-00,경기,분양,경기도 용인시 처인구 양지면 남곡리 147-21,용인 경남 아너스빌 디센트 3단지,388
2026-11,경기,분양,경기도 용인시 처인구 포곡읍 전대리 192-2,용인 에버랜드역 칸타빌,348
2025-10,경기,분양,경기도 의왕시 고천동  0-0,의왕고천지구 대방 디에트르 센트럴(B1BL),492
2026-02,경기,분양,경기도 의왕시 고천동 B2,제일풍경채의왕고천B2(사전청약),900
2026-06,경기,분양임대조합,경기도 의왕시 내손동  661-0,인덕원 퍼스비엘,2180
2025-05,경기,분양임대조합,경기도 의왕시 내손동  683-0,인덕원 자이 SK VIEW,2633
2026-11,경기,분양임대조합,경기도 의왕시 오전동  32-4 일원,의왕 센트라인 데시앙,733
2025-08,경기,임대,경기도 의왕시 포일동 506-1,힐스테이트인덕원(민간임대),349
2025-12,경기,분양임대조합,경기도 의정부시 금오동  65-3,힐스테이트 금오 더퍼스트,832
2025-01,경기,임대,경기도 의정부시 산곡동 2BL,리듬시티우미린(민간임대),767
2026-09,경기,분양임대조합,경기도 의정부시 신곡동  435-3,e편한세상 신곡 시그니처뷰 1단지 & 2단지,815
2025-08,경기,분양,경기도 의정부시 용현동  산 32-0,힐스테이트 탑석,636
2026-09,경기,분양,경기도 의정부시 의정부동  100-1,의정부역 파밀리에 Ⅱ,150
2025-03,경기,분양,경기도 의정부시 의정부동  127-4,의정부역 파밀리에Ⅰ,82
2025-03,경기,분양,경기도 의정부시 의정부동  94-8,의정부역 다채로움,92
2026-06,경기,임대,경기도 이천시 백사면 모전리 1-12,신안실크밸리2BL(민간임대),981
2026-01,경기,분양,경기도 이천시 안흥동  270-0,빌리브 어바인 시티 1BL,264
2026-01,경기,분양,경기도 이천시 안흥동  272-6,빌리브 어바인시티 2BL,264
2025-08,경기,분양,경기도 이천시 안흥동  320-1,센트레빌 레이크뷰,180
2026-06,경기,분양,경기도 이천시 중리동  327-0,우미린 어반퍼스트,785
2026-02,경기,분양,경기도 이천시 중리동  96-3,우미린 트리쉐이드,849
2026-11,경기,분양,경기도 이천시 증일동  21,이천 중리지구 A-2 신안인스빌 퍼스티지,523
2026-07,경기,분양조합,경기도 이천시 증일동  60-5,힐스테이트 이천역 2단지,885
2026-07,경기,분양조합,경기도 이천시 증일동  79-4,힐스테이트 이천역 1단지,937
2026-08,경기,분양,경기도 이천시 증일동 110-3,이천중리택지개발B3(예미지),1009
2026-08,경기,분양,경기도 이천시 증포동  323-20,이천자이 더 리체,558
2025-11,경기,분양임대조합,경기도 파주시 금촌동  337-15,금촌2동제2지구 ,1055
2025-09,경기,조합,경기도 파주시 금촌동 329-299,신일 해피트리,496
2026-06,경기,분양,경기도 파주시 다율동 산18-1,파주 운정신도시 A8블럭 푸르지오,552
2025-06,경기,분양,경기도 파주시 당하동 426 ,파주 운정신도시 A2블록 호반써밋,1110
2026-02,경기,분양,경기도 파주시 동패동  0-0,ANDANTE(안단테),1012
2025-02,경기,분양,경기도 파주시 동패동 1409,파주운정신도시 A49블록 시티프라디움,486
2025-03,경기,분양,경기도 파주시 동패동 1417,경남아너스빌 리버,457
2026-10,경기,분양,경기도 파주시 동패동 415-13,운정3 제일풍경채(A46BL),383
2026-09,경기,분양,경기도 파주시 동패동 418,파주 운정3 이지더원(A44BL),379
2026-08,경기,분양,경기도 파주시 동패동 산 79-1,파주 운정신도시 우미 린 더 센텀,418
2026-07,경기,분양,경기도 파주시 동패동 산80-1,파주운정3A22(공공분양),642
2025-07,경기,분양,경기도 파주시 목동동  916-0,파주운정신도시 디에트르 센트럴,292
2026-03,경기,분양,경기도 파주시 목동동  산 26-0,운정자이 시그니처,988
2025-06,경기,분양,경기도 파주시 목동동 314,파주운정 경남아너스빌 디원,499
2025-06,경기,임대,경기도 파주시 목동동 616,파주운정3A47(행복주택),882
2025-01,경기,임대,경기도 파주시 야당동  0-0,파주운정3 A24BL 국민임대주택,806
2025-01,경기,임대,경기도 파주시 야당동  0-0,파주운정3 A24BL 영구임대주택,272
2025-08,경기,분양,경기도 파주시 와동동  1471-2,힐스테이트 더 운정,744
2025-05,경기,분양,경기도 파주시 탄현면 축현리 868-5,e편한세상 헤이리,1057
2026-03,경기,분양,경기도 평택시 가재동  0-0,지제역 반도체밸리 제일풍경채 2블록 ,1152
2025-08,경기,분양,경기도 평택시 고덕동  1860-2,고덕자이 센트로,569
2025-02,경기,분양,경기도 평택시 고덕면  0-0,평택고덕 A-57-2블록 신혼희망타운,256
2025-04,경기,분양,경기도 평택시 고덕면  0-0,평택 고덕 국제신도시 A-55 대광로제비앙 모아엘가,1255
2025-02,경기,임대,경기도 평택시 고덕면  0-0,평택고덕국제화지구 A-57-2 신혼희망타운(행복주택),129
2026-05,경기,분양,경기도 평택시 고덕면 율포리 A48,평택고덕예미지(A48),431
2025-09,경기,분양,경기도 평택시 고덕면 좌교리 0-0,평택  고덕국제신도시 A50블록 미래도 파밀리에,642
2025-10,경기,임대,경기도 평택시 서정동  0-0,평택고덕 A-58블록 영구임대주택,912
2025-10,경기,임대,경기도 평택시 서정동  0-0,평택고덕 A-58블록 국민임대주택,383
2025-07,경기,분양,경기도 평택시 장당동  산 12-5,평택석정공원 화성파크드림,1296
2026-08,경기,분양,경기도 평택시 장안동  0-0,평택 브레인시티 2BL 대광로제비앙 모아엘가,1700
2025-02,경기,분양,경기도 평택시 청북읍 옥길리 1158-7,평택청북 세종 헤르메스,280
2025-03,경기,분양,경기도 평택시 통복동  577-0,경남 아너스빌 디아트,499
2026-03,경기,분양,경기도 평택시 현덕면 운정리 0-0,힐스테이트 평택 화양,1571
2026-11,경기,분양,경기도 평택시 현덕면 운정리 0-0,평택 화양 동문 디 이스트,753
2025-08,경기,분양,경기도 평택시 현덕면 화양리 0-0,휴먼빌 퍼스트시티,1468
2025-09,경기,분양,경기도 평택시 현덕면 화양리 0-0,e편한세상 평택 하이센트(4BL) ,916
2025-09,경기,분양,경기도 평택시 현덕면 화양리 0-0,e편한세상 평택 라씨엘로,1063
2025-11,경기,분양,경기도 평택시 현덕면 화양리 0-0,포레나 평택화양,995
2026-07,경기,분양조합,경기도 평택시 현덕면 화양리 0-0,평택화양 서희스타힐스 센트럴파크,1554
2026-11,경기,분양,경기도 평택시 현덕면 화양리 0-0,평택 푸르지오 센터파인,851
2025-11,경기,임대,경기도 포천시 가산면 감암리 187-6,포천삼일파라뷰(민간임대),406
2026-01,경기,임대,경기도 화성시 동탄순환대로8길 11,동탄호수공원 자연&자이(장기전세),965
2025-05,경기,분양,경기도 화성시 봉담읍 동화리 162 일원,봉담자이 라젠느,862
2026-05,경기,분양,경기도 화성시 봉담읍 동화리 176 일원,봉담 중흥S-클래스 센트럴에듀,806
2025-06,경기,분양,경기도 화성시 비봉면 구포리 0-0,화성비봉지구 A-3블록,659
2025-06,경기,임대,경기도 화성시 비봉면 삼화리 0-0,화성비봉 A-3블록 행복주택,329
2025-01,경기,분양,경기도 화성시 비봉면 삼화리 1841,호반 써밋,779
2025-01,경기,분양,경기도 화성시 비봉면 삼화리 1850,화성비봉 예미지 센트럴에듀,917
2025-01,경기,분양,경기도 화성시 비봉면 삼화리 1910,비봉 우미린 더 퍼스트,798
2026-02,경기,분양,경기도 화성시 송산동  203-1,화성태안3지구 B-3블록 공공분양주택,688
2025-07,경기,분양,경기도 화성시 신동  0-0,동탄 파크릭스 A55BL,660
2026-07,경기,분양,경기도 화성시 신동  0-0,동탄신도시 금강펜테리움7차 센트럴파크,662
2026-02,경기,분양,경기도 화성시 신동  산165 일원,동탄신도시 금강펜테리움 6차 센트럴파크,1103
2025-07,경기,분양,경기도 화성시 신동  신동 202 일원,동탄 파크릭스 A52BL,679
2025-07,경기,분양,경기도 화성시 신동 162 일원,동탄 파크릭스 A51-1BL,310
2025-07,경기,분양,경기도 화성시 신동 175-1 일원,동탄 파크릭스 A51-2BL,414
2025-08,경기,분양,경기도 화성시 신동 239-1 일원, 어울림 파밀리에 ,640
2025-08,경기,분양,경기도 화성시 신동 297-1 일원,숨마데시앙,616
2025-02,경기,분양,경기도 화성시 오산동 979,디에트르 퍼스티지,531
2025-06,경기,임대,경기도 화성시 향남읍 하길리 0-0,화성향남2 A22블록 행복주택,445
2025-06,경기,임대,경기도 화성시 향남읍 하길리 0-0,화성향남2 A21블록 행복주택,605
2026-03,경남,분양,경상남도 거제시 장승포동  499-0,거제 유림노르웨이숲 디오션,299
2025-03,경남,분양,경상남도 고성군 고성읍 교사리 222번지 외 82필지 ,고성 스위트엠 엘크루,435
2025-02,경남,분양,경상남도 김해시 구산동  691-0,푸르지오 파크테르,534
2025-01,경남,분양,경상남도 김해시 내덕동  0-0,중흥S-클래스 더퍼스트 1단지,1040
2025-01,경남,분양,경상남도 김해시 삼계동  1027-12,쌍용 더 플래티넘 삼계,253
2026-05,경남,분양조합,경상남도 김해시 삼문동  466-0,김해 대청천 에피트 ,423
2026-02,경남,분양,경상남도 김해시 신문동  0-0,더샵 신문그리니티,1146
2025-02,경남,분양조합,경상남도 김해시 신문동  699-1,김해율하 더스카이시티 제니스&프라우,3764
2025-12,경남,분양,경상남도 김해시 주촌면 선지리 213-2,e편한세상 주촌 더프리미어,992
2026-10,경남,분양,경상남도 밀양시 삼문동  620-1,삼문 시그니처 웰가,232
2026-03,경남,분양,경상남도 사천시 동금동 151-1번지 일원,e편한세상 삼천포 오션프라임,677
2025-06,경남,분양,경상남도 사천시 용현면 선진리 1116-0,e편한세상 사천 스카이마리나,1047
2025-02,경남,분양,경상남도 사천시 정동면 예수리 817-7,사천파인앤유센텀포레,511
2025-06,경남,분양,경상남도 양산시 덕계동  1050-0,양산 5차 비스타동원 솔라스타,311
2025-02,경남,임대,경상남도 양산시 동면 사송리 A8,양산사송A8(국민임대),403
2025-02,경남,임대,경상남도 양산시 동면 사송리 A8,양산사송A8(영구임대),255
2025-02,경남,임대,경상남도 양산시 동면 사송리 A8,양산사송A8(행복주택),150
2025-03,경남,분양,경상남도 양산시 평산동 589-3,양산한신더휴,405
2025-02,경남,임대,경상남도 진주시 가좌동 2033,진주의봄프리미엄(민간임대),773
2026-02,경남,분양,경상남도 진주시 주약동  183-1,백년문화공원 극동스타클래스,166
2025-01,경남,분양,경상남도 진주시 초전동  1752,더샵 진주피에르테,798
